name1,name2,score,false_positive
COMMISIONAIRES SASKATCHEWAN,COMMISSIONAIRES SECURITY SOLUTIONS,0.999956,0
CANADIAN CORPS COMMISSIONIARES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999980,0
COMMISSIONAIRE NOVA SCOTIA,COMMISSIONAIRES SECURITY SOLUTIONS,0.999985,0
CANADIAN CORPS COMISSIONAIRES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999973,0
COMMISSIONAIRES OTTAWA COLONADE,COMMISSIONAIRES SECURITY SOLUTIONS,0.999985,0
COMMISSIONAIRES SECURITY SOLUTIONS,COMMISSISONAIRES OTTAWA,0.999931,0
COMMISSIONAIRES SECURITY SOLUTIONS,MONERIS SOLUTIONS,0.999040,1
COMMISSIONAIRES SECURITY SOLUTIONS,WORL FUEL SERVICES TRADING,0.867549,1
COMMISSIONAIRES SECURITY SOLUTIONS,PALADIN SECURITY GROUP,0.623624,1
BOEING COMPANY,BOEING DISTRIBUTION CANADA,0.999962,0
SIMEX DEFENCE,SIMEX DEFENSE,0.999985,0
SIMEX DEFENCE,SIMEX DEFENCE IN,0.999982,0
SIMEX DEFENCE,SIMEX DEFENCE,0.999984,0
SIMEX DEFENCE,SIMEX EQUIPMENT,0.999984,0
CARLETON UNIVERSITY,CARLETON UNIVERSITY SCHOOL BUSINESS,0.999969,0
SAMSON ASSOCIES,SAMSON ASSOCIES CPACONSULTATION,0.999983,0
SAMSON ASSOCIATES CPA CONSULTING SERVICES,SAMSON ASSOCIES CPACONSULTATION,0.999976,0
SAMSON ASSOCIATES CPA CONSULTATION,SAMSON ASSOCIES CPACONSULTATION,0.999978,0
L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,L3 COMMUNICATIONS ELECTRONIC SYSTEMS,0.999984,0
L3 COMMUNICATIONS,L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,0.999983,0
L3 AVIATION PRODUCTS,L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,0.999971,0
L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,L3 MAPPS,0.999977,0
KONICA MINOLTA BUSINESS SOLUTIONS CANADA,MINOLTA BUSINESS EQUIPMENT CANADA,0.999988,0
KONICA MINOLTA BUSINESS,MINOLTA BUSINESS EQUIPMENT CANADA,0.999989,0
DU FORT STJEAN,FORT STJEAN,0.997838,0
COSSETTE COMMUNICATION,COSSETTE COMMUNICATION,0.999972,0
TENAQUIP,TENAQUIP,0.999987,0
AIRPORT FORD LINCOLN,RIVERVIEW FORD LINCOLN,0.999984,0
RIVERVIEW FORD LINCOLN,VICTORY FORD LINCOLN SALES,0.999980,0
FORD MOTOR CANADA,RIVERVIEW FORD LINCOLN,0.999938,0
FORD MOTOR COMPANY CANADA,RIVERVIEW FORD LINCOLN,0.999956,0
RIVERVIEW FORD LINCOLN,STEVE MARSHALL FORD LINCOLN,0.999949,0
SENES CONSULTANTS,SENES CONSULTANTS,0.999945,0
ADRM TECHNOLOGY CONSULTING,ADRM TECHNOLOGY CONSULTING GROUP,0.999986,0
ADRM TECHNOLOGY CONSULTING,ADRM TECHNOLOGY CONSULTING GROUP ANTIAN PROFESSIONAL SERVICES,0.999985,0
ADRM TECH,ADRM TECHNOLOGY CONSULTING,0.999986,0
SHELL CANADA PRODUCTS,SHELLCANADA PRODUCTS,0.999982,0
SHELL,SHELL CANADA PRODUCTS,0.999975,0
SHELL BRASIL,SHELL CANADA PRODUCTS,0.999979,0
SHELL AVIAITON,SHELL CANADA PRODUCTS,0.999979,0
ABI ADVANCED BUSINESS INTERIORS,ABIADVANCED BUSINESS INTERIORS,0.999961,0
STANTEC EXPERT CONSEILS,STANTEC EXPERTSCONSEILS,0.999986,0
STANTEC CONSULTING,STANTEC EXPERTSCONSEILS,0.999986,0
STANTEC CONSULTING SCL,STANTEC EXPERTSCONSEILS,0.999986,0
STANTEC ARCHITECTURE,STANTEC EXPERTSCONSEILS,0.999986,0
STANTEC CONSULTING OTTAWA,STANTEC EXPERTSCONSEILS,0.999986,0
CARVERYS,CARVERYS CONSTRUCTION,0.999987,0
ARCADIS CANADA,ARCADIS CANADA,0.999979,0
ARCADIS CANADA,ARCADIS PROFESSIONAL SERVICES CANADA,0.999979,0
AGILENT TECHNOLOGIES,AGILENT TECHNOLOGIES CANADA,0.999984,0
AGILENT TECHNOLOGIES CANADA,AGILENT TECHNOLOGIES CANADA,0.999983,0
COMMISSIONAIRE NOVA SCOTIA,COMMISSIONAIRES MANITOBA,0.999985,0
CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,COMMISSIONAIRES MANITOBA,0.999984,0
COMMISIONAIRES SASKATCHEWAN,COMMISSIONAIRES MANITOBA,0.999977,0
COMMISSIONAIRES KINGSTON,COMMISSIONAIRES MANITOBA,0.999986,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRES MANITOBA,0.999985,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRES MANITOBA,0.999983,0
COMMISSIONAIRES MANITOBA,COMMISSIONAIRES OTTAWA COLONADE,0.999986,0
COMMISSIONAIRES,COMMISSIONAIRES MANITOBA,0.999985,0
CANADIAN CORPS COMMISSIONIARES,COMMISSIONAIRES MANITOBA,0.999982,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,COMMISSIONAIRES MANITOBA,0.999985,0
CANADIAN CORPS COMISSIONAIRES,COMMISSIONAIRES MANITOBA,0.999974,0
COMMISSIONAIRES MANITOBA,COMMISSISONAIRES OTTAWA,0.999932,0
COMMISSIONAIRES MANITOBA,CORPS COMMISSIONAIRES,0.999984,0
CANCORPS COMMISSIONAIRES,COMMISSIONAIRES MANITOBA,0.999986,0
COMMISSIONAIRES MANITOBA,COMMISSIONAIRES SECURITY SOLUTIONS,0.999985,0
CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999985,0
CANADIAN CORPS COMMISSIONIARES,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999983,0
CANADIAN CORPS COMISSIONAIRES,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999980,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,CANADIAN CORPSCOMMISSIONNAIRES,0.999982,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999984,0
CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999983,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0.999984,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSIONAIRE NOVA SCOTIA,0.999981,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,CORPS COMMISSIONAIRES,0.999983,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISIONAIRES SASKATCHEWAN,0.998903,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSIONAIRES OTTAWA COLONADE,0.999982,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,UNIVERSITY ALBERTA CAMPUS SAINT JEAN,0.792327,1
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSIONAIRES KINGSTON,0.999982,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSIONAIRES MANITOBA,0.999982,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSIONAIRES,0.999983,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,COMMISSISONAIRES OTTAWA,0.998202,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,WORLD FUEL SERVICES CANADA,0.604075,1
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,HEWLETT PACKARD CANADA,0.979227,1
DILLON CONSULTING,DILLON CONSULTING,0.999978,0
KINETIC CONSTRUCTION,KINETIC CONSTRUCTION,0.999983,0
DELOITTE,DELOITTE,0.999977,0
DELOITTE,DELOITTE TOUCHE,0.999950,0
DELOITTE,DELOITTE TOUCHE TOHMATSU CERTIFIED PUBLIC ACCOUNTANTS,0.999907,0
DELOITTE,DELOITTE TOHMATSU FINANCIAL ADVISOR,0.999928,0
MITSUBISHI CANADA,MITSUBISHI MOTOR SALES CANADA I,0.999969,0
FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC,0.999984,0
FISHER SCIENTIFIC,THERMO FISHER SCIENTIFIC MISSISSAUG,0.999985,0
FISHER SCIENTIFIC,HEWLETT PACKARD CANADA,0.983588,1
IMPERIAL OIL,IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,0.999984,0
IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,INPERIAL OIL,0.999960,0
IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,WORLS FUELS,0.810384,1
IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,WORL FUEL SERVICES TRADING,0.813362,1
HEWLETT PACKARD CANADA,IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,0.703399,1
FLIGHT FUELS,FLIGHT FUELS PARTNERSHIP,0.999954,0
FLIGHT FUEL,FLIGHT FUELS PARTNERSHIP,0.999941,0
STANTEC CONSULTING,STANTEC CONSULTING,0.999986,0
STANTEC CONSULTING,STANTEC CONSULTING OTTAWA,0.999986,0
STANTEC CONSULTING,STANTEC CONSULTING SCL,0.999986,0
STANTEC CONSULTING,STANTEC EXPERT CONSEILS,0.999987,0
STANTEC ARCHITECTURE,STANTEC CONSULTING,0.999987,0
LAFARGE CANADA,LAFARGE CANADA,0.999944,0
GARDA CANADA SECURITY,GARDAWORLD,0.999985,0
GARDA CANADA SECURITY,GARDA CANADA SECURITY,0.999984,0
MERCK CANADA,MERCK CANADA,0.999975,0
UNITED STATES DEPARTMENT AIR FORCE,UNITED STATES DEPARTMENT AIR FORCEAFSEC,0.999985,0
BA BLACKTOP,BA BLACKTOP INFRASTRUCTURE,0.999641,0
DELL COMPUTER,DELLCANADA,0.999946,0
MCELHANNEY,MCELHANNEY,0.999988,0
MCELHANNEY,MCELHANNEY CONSULTING SERVICES APRIL 20 2016,0.999988,0
MCELHANNEY,MCELHANNEY EDMONTON,0.999987,0
MCELHANNEY,MCELHINNEY HOLDINGS,0.999969,0
COPCAN CIVIL,COPCAN CIVIL,0.999974,0
TELCOM COMPUTER,TELECOM COMPUTER,0.999966,0
TELCOM COMPUTER,TELECOM COMPUTERS,0.999965,0
TELCOM COMPUTER,TELECOM,0.997189,0
